e
M0002
Pda7F85E36u;ba826E114p,14,208;ba7FA7222p,14,208;ba7D3910Dp,14,208
Pda7F994CDu;ba8061250p,10,201;baB3872A4f,10,201;ba7FAC0BFp,10,201
Pda7F99900u;ba805F8AEp,10,201;baB42761Cf,10,201;ba7FADCF2p,10,201
Pda7F99D32u;ba805E0C1p,10,201;baB492310f,10,201;ba7FAF694p,10,201
Pda7F9A165u;ba805C9AEp,10,201;baB4E24D0f,10,201;ba7FB0EEFp,10,201
Pda7F9A597u;ba805B29Cp,10,201;baB53268Cf,10,201;ba7FB2749p,10,201
Pda7F9A9CAu;ba8059CD2p,10,201;baB5B7EC4f,10,201;ba7FB3F36p,10,201
Pda7F9ADFCu;ba8058775p,10,201;baB5D2A04f,10,201;ba7FB5500p,10,201
Pda7F9B22Fu;ba8057286p,10,201;baB65823Cf,10,201;ba7FB6C12p,10,201
Pda7F9B661u;ba8055CBCp,10,201;baB672D78f,10,201;ba7FB824Ap,10,201
Pda7F9BA93u;ba80549EFp,10,201;baB6DDA74f,10,201;ba7FB96CCp,10,201
Pda7F9BEC6u;ba8053790p,10,201;baB7130F0f,10,201;ba7FBAA06p,10,201
Pda7F9C2F8u;ba805259Fp,10,201;baB77DDECf,10,201;ba7FBBDADp,10,201
Pda7F9C72Bu;ba80512D2p,10,201;baB7B3468f,10,201;ba7FBD154p,10,201
Pda7F9CB5Du;ba804FF98p,10,201;baB7E8AE4f,10,201;ba7FBE569p,10,201
Pda7F9CF90u;ba804EF5Cp,10,201;baB803624f,10,201;ba7FBF612p,10,201
Pda7F9D3C2u;ba804DF8Dp,10,201;baB81E160f,10,201;ba7FC064Ep,10,201
Pda7F9D7F5u;ba804CD2Ep,10,201;baB81E160f,10,201;ba7FC18AEp,10,201
Pda7F9DC27u;ba804BEA7p,10,201;baB86E31Cf,10,201;ba7FC287Cp,10,201
Pda7F9E05Au;ba804ADFEp,10,201;baB86E31Cf,10,201;ba7FC3926p,10,201
Pda7F9E48Cu;ba8049FE4p,10,201;baB8D9014f,10,201;ba7FC48F5p,10,201
Pda7F9E8BFu;ba8049083p,10,201;baB8BE4D8f,10,201;ba7FC57E9p,10,201
Pda7F9ECF1u;ba8048269p,10,201;baB8BE4D8f,10,201;ba7FC6602p,10,201
Pda7F9F124u;ba804752Bp,10,201;baB90E690f,10,201;ba7FC7489p,10,201
Pda7F9F556u;ba804677Fp,10,201;baB90E690f,10,201;ba7FC8235p,10,201
Pda7F9F989u;ba8045A40p,10,201;baB8D9014f,10,201;ba7FC8E99p,10,201
Pda7F9FDBBu;ba8044D6Fp,10,201;baB90E690f,10,201;ba7FC9C45p,10,201
Pda7FA01EEu;ba804439Bp,10,201;baB993ECCf,10,201;ba7FCA83Bp,10,201
Pda7FA0620u;ba8043880p,10,201;baB979390f,10,201;ba7FCB2EAp,10,201
Pda7FA0A53u;ba8042BAEp,10,201;baB993ECCf,10,201;ba7FCC028p,10,201
Pda7FA0E85u;ba8042248p,10,201;baB9AEA0Cf,10,201;ba7FCC9FCp,10,201
Pda7FA12B8u;ba80418E2p,10,201;baB9FEBC4f,10,201;ba7FCD4AAp,10,201
Pda7FA16EAu;ba8040DC6p,10,201;baB9E4088f,10,201;ba7FCDF59p,10,201
Pda7FA1B1Du;ba8040385p,10,201;baB9FEBC4f,10,201;ba7FCEA07p,10,201
Pda7FA1F4Fu;ba803FB67p,10,201;baBA34240f,10,201;ba7FCF300p,10,201
Pda7FA2382u;ba803EF71p,10,201;baBA19704f,10,201;ba7FCFE89p,10,201
Pda7FA27B4u;ba803E82Dp,10,201;baBA19704f,10,201;ba7FD05CCp,10,201
Pda7FA2BE7u;ba803DFA2p,10,201;baBA698C4f,10,201;ba7FD0FA0p,10,201
Pda7FA3019u;ba803D716p,10,201;baBA4ED80f,10,201;ba7FD17BEp,10,201
Pda7FA344Bu;ba803CE1Dp,10,201;baBA4ED80f,10,201;ba7FD20B7p,10,201
Pda7FA387Eu;ba803C4B7p,10,201;baBA34240f,10,201;ba7FD29B0p,10,201
Pda7FA3CB0u;ba803BE4Fp,10,201;baBA4ED80f,10,201;ba7FD3086p,10,201
Pda7FA40E3u;ba803B69Ep,10,201;baBA698C4f,10,201;ba7FD38A4p,10,201
Pda7FA4515u;ba803AEEDp,10,201;baBA84400f,10,201;ba7FD40C2p,10,201
Pda7FA4948u;ba803A662p,10,201;baBA84400f,10,201;ba7FD494Ep,10,201
Pda7FA4D7Au;ba803A141p,10,201;baBA84400f,10,201;ba7FD4E6Ep,10,201
Pda7FA51ADu;ba8039990p,10,201;baBAB9A7Cf,10,201;ba7FD56FAp,10,201
Pda7FA55DFu;ba80392BAp,10,201;baBA84400f,10,201;ba7FD5CF5p,10,201
Pda7FA5A12u;ba8038B77p,10,201;baBA698C4f,10,201;ba7FD63CBp,10,201
Pda7FA5E44u;ba80385E9p,10,201;baBAB9A7Cf,10,201;ba7FD6AA1p,10,201
Pda7FA6277u;ba8037E38p,10,201;baBA84400f,10,201;ba7FD7177p,10,201
Pda7FA66A9u;ba8037762p,10,201;baBA9EF40f,10,201;ba7FD78BAp,10,201
Pda7FA6ADCu;ba80372AFp,10,201;baBA9EF40f,10,201;ba7FD7D6Dp,10,201
Pda7FA6F0Eu;ba8036CB4p,10,201;baBA84400f,10,201;ba7FD82FBp,10,201
Pda7FA7341u;ba80365DEp,10,201;baBA698C4f,10,201;ba7FD8964p,10,201
Pda7FA7773u;ba8036050p,10,201;baBA4ED80f,10,201;ba7FD8E84p,10,201
Pda7FA7BA6u;ba8035B9Dp,10,201;baBA698C4f,10,201;ba7FD93A5p,10,201
Pda7FA7FD8u;ba803567Dp,10,201;baBA4ED80f,10,201;ba7FD9858p,10,201
Pda7FA840Bu;ba803515Cp,10,201;baBA698C4f,10,201;ba7FD9DE6p,10,201
Pda7FA883Du;ba8034C3Cp,10,201;baBA34240f,10,201;ba7FDA22Bp,10,201
Pda7FA8C70u;ba80349ABp,10,201;baBA84400f,10,201;ba7FDA604p,10,201
Pda7FA90A2u;ba803441Dp,10,201;baBA698C4f,10,201;ba7FDAB24p,10,201
Pda7FA94D5u;ba8033FD8p,10,201;baBA34240f,10,201;ba7FDAE8Fp,10,201
Pda7FA9907u;ba8033C6Dp,10,201;baBA4ED80f,10,201;ba7FDB268p,10,201
Pda7FA9D39u;ba80336DFp,10,201;baBA4ED80f,10,201;ba7FDB7F6p,10,201
Pda7FAA16Cu;ba8033306p,10,201;baBA4ED80f,10,201;ba7FDBBCEp,10,201
Pda7FAA59Eu;ba8032F2Ep,10,201;baBA34240f,10,201;ba7FDBF39p,10,201
Pda7FAA9D1u;ba8032D0Bp,10,201;baBA4ED80f,10,201;ba7FDC1C9p,10,201
Pda7FAAE03u;ba80328C5p,10,201;baBA698C4f,10,201;ba7FDC67Cp,10,201
Pda7FAB236u;ba803255Ap,10,201;baBA4ED80f,10,201;ba7FDC97Ap,10,201
Pda7FAB668u;ba80320A7p,10,201;baBA4ED80f,10,201;ba7FDCE2Dp,10,201
Pda7FABA9Bu;ba8031E17p,10,201;baBA698C4f,10,201;ba7FDD12Bp,10,201
Pda7FABECDu;ba8031A3Fp,10,201;baBA698C4f,10,201;ba7FDD503p,10,201
Pda7FAC300u;ba8031741p,10,201;baBA34240f,10,201;ba7FDD726p,10,201
Pda7FAC732u;ba8031443p,10,201;baBA4ED80f,10,201;ba7FDDA91p,10,201
Pda7FACB65u;ba8030F90p,10,201;baBA34240f,10,201;ba7FDDED7p,10,201
Pda7FACF97u;ba8030D00p,10,201;baBA34240f,10,201;ba7FDE167p,10,201
Pda7FAD3CAu;ba8030928p,10,201;baBA34240f,10,201;ba7FDE53Fp,10,201
Pda7FAD7FCu;ba8030705p,10,201;baBA19704f,10,201;ba7FDE6F5p,10,201
Pda7FADC2Fu;ba8030475p,10,201;baBA19704f,10,201;ba7FDE985p,10,201
Pda7FAE061u;ba803009Cp,10,201;baBA19704f,10,201;ba7FDED5Dp,10,201
Pda7FAE494u;ba802FE79p,10,201;baB9FEBC4f,10,201;ba7FDEF13p,10,201
Pda7FAE8C6u;ba802FA34p,10,201;baB9C9548f,10,201;ba7FDF27Ep,10,201
Pda7FAECF9u;ba802F87Ep,10,201;baB9E4088f,10,201;ba7FDF4A1p,10,201
Pda7FAF12Bu;ba802F6C9p,10,201;baB9FEBC4f,10,201;ba7FDF6C4p,10,201
Pda7FAF55Eu;ba802F35Ep,10,201;baB9E4088f,10,201;ba7FDF9C1p,10,201
Pda7FAF990u;ba802EFF3p,10,201;baB9AEA0Cf,10,201;ba7FDFC51p,10,201
Pda7FAFDC3u;ba802EDD0p,10,201;baB9C9548f,10,201;ba7FDFEE2p,10,201
Pda7FB01F5u;ba802EC1Ap,10,201;baB9AEA0Cf,10,201;ba7FE002Ap,10,201
Pda7FB0628u;ba802E9F7p,10,201;baB9C9548f,10,201;ba7FE02BAp,10,201
Pda7FB0A5Au;ba802E767p,10,201;baB993ECCf,10,201;ba7FE0470p,10,201
Pda7FB0E8Cu;ba802E544p,10,201;baB993ECCf,10,201;ba7FE0692p,10,201
Pda7FB12BFu;ba802E2B4p,10,201;baB979390f,10,201;ba7FE08B5p,10,201
Pda7FB16F1u;ba802E247p,10,201;baB993ECCf,10,201;ba7FE0990p,10,201
Pda7FB1B24u;ba802E0FFp,10,201;baB9E4088f,10,201;ba7FE0C20p,10,201
Pda7FB1F56u;ba802DE01p,10,201;baB9C9548f,10,201;ba7FE0EB1p,10,201
Pda7FB2389u;ba802DE6Ep,10,201;baB9E4088f,10,201;ba7FE0EB1p,10,201
Pda7FB27BBu;ba802DCB9p,10,201;baBA19704f,10,201;ba7FE1141p,10,201
Pda7FB2BEEu;ba802DBDEp,10,201;baBA19704f,10,201;ba7FE121Cp,10,201
Pda7FB3020u;ba802D9BBp,10,201;baBA19704f,10,201;ba7FE143Ep,10,201
Pda7FB3453u;ba802D94Ep,10,201;baBA4ED80f,10,201;ba7FE1587p,10,201
Pda7FB3885u;ba802D798p,10,201;baBA34240f,10,201;ba7FE16CFp,10,201
Pda7FB3CB8u;ba802D575p,10,201;baBA4ED80f,10,201;ba7FE195Fp,10,201
Pda7FB40EAu;ba802D650p,10,201;baBA9EF40f,10,201;ba7FE19CCp,10,201
Pda7FB451Du;ba802D49Bp,10,201;baBAB9A7Cf,10,201;ba7FE1BEFp,10,201
Pda7FB494Fu;ba802D42Dp,10,201;baBAEF0F8f,10,201;ba7FE1D37p,10,201
Pda7FB4D82u;ba802D353p,10,201;baBAD45BCf,10,201;ba7FE1DA5p,10,201
Pda7FB51B4u;ba802D278p,10,201;baBB24774f,10,201;ba7FE1FC8p,10,201
Pda7FB55E7u;ba802D278p,10,201;baBB3F2B0f,10,201;ba7FE2035p,10,201
Pda7FB5A19u;ba802D2E5p,10,201;baBBA9FB0f,10,201;ba7FE217Dp,10,201
Pda7FB5E4Cu;ba802D055p,10,201;baBBC4AECf,10,201;ba7FE247Bp,10,201
Pda7FB627Eu;ba802D055p,10,201;baBBDF62Cf,10,201;ba7FE24E8p,10,201
Pda7FB66B1u;ba802CF7Ap,10,201;baBC14CA8f,10,201;ba7FE269Ep,10,201
Pda7FB6AE3u;ba802CFE8p,10,201;baBC2F7E4f,10,201;ba7FE269Ep,10,201
Pda7FB6F16u;ba802CF7Ap,10,201;baBC7F9A4f,10,201;ba7FE2853p,10,201
Pda7FB7348u;ba802D055p,10,201;baBCEA69Cf,10,201;ba7FE292Ep,10,201
Pda7FB777Au;ba802D130p,10,201;baBD3A858f,10,201;ba7FE299Bp,10,201
Pda7FB7BADu;ba802D20Ap,10,201;baBDC0094f,10,201;ba7FE2AE3p,10,201
Pda7FB7FDFu;ba802D278p,10,201;baBE1024Cf,10,201;ba7FE2BBEp,10,201
Pda7FB8412u;ba802D353p,10,201;baBE60408f,10,201;ba7FE2C2Bp,10,201
Pda7FB8844u;ba802D3C0p,10,201;baBEB05C8f,10,201;ba7FE2D06p,10,201
Pda7FB8C77u;ba802D650p,10,201;baBF50938f,10,201;ba7FE2D06p,10,201
Pda7FB90A9u;ba802D72Bp,10,201;baBFD6174f,10,201;ba7FE2E4Ep,10,201
Pda7FB94DCu;ba802D873p,10,201;baC026330f,10,201;ba7FE2E4Ep,10,201
Pda7FB990Eu;ba802DBDEp,10,201;baC0C66A0f,10,201;ba7FE2D74p,10,201
Pda7FB9D41u;ba802DE6Ep,10,201;baC181558f,10,201;ba7FE2DE1p,10,201
Pda7FBA173u;ba802E16Cp,10,201;baC256F50f,10,201;ba7FE2E4Ep,10,201
Pda7FBA5A6u;ba802E3FCp,10,201;baC311E08f,10,201;ba7FE2EBCp,10,201
Pda7FBA9D8u;ba802E767p,10,201;baC3CCCB8f,10,201;ba7FE2E4Ep,10,201
Pda7FBAE0Bu;ba802EC1Ap,10,201;baC4BD1F0f,10,201;ba7FE2D74p,10,201
Pda7FBB23Du;ba802EE3Dp,10,201;baC592BE0f,10,201;ba7FE2EBCp,10,201
Pda7FBB670u;ba802F35Ep,10,201;baC6B8790f,10,201;ba7FE2E4Ep,10,201
Pda7FBBAA2u;ba802F5EEp,10,201;baC773648f,10,201;ba7FE2EBCp,10,201
Pda7FBBED5u;ba802FC57p,10,201;baC8991F8f,10,201;ba7FE2D06p,10,201
Pda7FBC307u;ba8030177p,10,201;baC9A4268f,10,201;ba7FE2C2Bp,10,201
Pda7FBC73Au;ba803062Ap,10,201;baCAC9E18f,10,201;ba7FE2C2Bp,10,201
Pda7FBCB6Cu;ba8030BB8p,10,201;baCBEF9C8f,10,201;ba7FE2B51p,10,201
Pda7FBCF9Fu;ba80310D8p,10,201;baCD15578f,10,201;ba7FE2AE3p,10,201
Pda7FBD3D1u;ba80315F9p,10,201;baCE3B128f,10,201;ba7FE2A76p,10,201
Pda7FBD804u;ba8031DAAp,10,201;baCFB0E90f,10,201;ba7FE28C0p,10,201
Pda7FBDC36u;ba80323A5p,10,201;baD0BBF00f,10,201;ba7FE270Bp,10,201
Pda7FBE069u;ba8032A7Bp,10,201;baD231C68f,10,201;ba7FE2630p,10,201
Pda7FBE49Bu;ba803322Cp,10,201;baD3A79D8f,10,201;ba7FE247Bp,10,201
Pda7FBE8CDu;ba8033AB7p,10,201;baD552DC0f,10,201;ba7FE22C5p,10,201
Pda7FBED00u;ba80342D5p,10,201;baD6C8B30f,10,201;ba7FE20A2p,10,201
Pda7FBF132u;ba8034A86p,10,201;baD823D58f,10,201;ba7FE1E7Fp,10,201
Pda7FBF565u;ba8035312p,10,201;baD9E9C80f,10,201;ba7FE1D37p,10,201
Pda7FBF997u;ba8035C78p,10,201;baDB7A528f,10,201;ba7FE1A3Ap,10,201
Pda7FBFDCAu;ba8036571p,10,201;baDD25910f,10,201;ba7FE1817p,10,201
Pda7FC01FCu;ba8036ED7p,10,201;baDEB61B8f,10,201;ba7FE1519p,10,201
Pda7FC062Fu;ba80379F3p,10,201;ba8018AC6p,10,201;ba7FE10D3p,10,201
Pda7FC0A61u;ba80384A1p,10,201;ba8019209p,10,201;ba7FE0D68p,10,201
Pda7FC0E94u;ba8038EE2p,10,201;ba80198DFp,10,201;ba7FE09FDp,10,201
Pda7FC12C6u;ba8039AD8p,10,201;ba8019FB5p,10,201;ba7FE04DDp,10,201
Pda7FC16F9u;ba803A7AAp,10,201;ba801A7D3p,10,201;ba7FE002Ap,10,201
Pda7FC1B2Bu;ba803B1EBp,10,201;ba801AE3Cp,10,201;ba7FDFC51p,10,201
Pda7FC1F5Eu;ba803C071p,10,201;ba801B65Ap,10,201;ba7FDF5E9p,10,201
Pda7FC2390u;ba803CE8Bp,10,201;ba801BEE5p,10,201;ba7FDF05Bp,10,201
Pda7FC27C3u;ba803DB5Cp,10,201;ba801C629p,10,201;ba7FDEACDp,10,201
Pda7FC2BF5u;ba803E9E3p,10,201;ba801CE47p,10,201;ba7FDE464p,10,201
Pda7FC3028u;ba803F78Fp,10,201;ba801D58Ap,10,201;ba7FDDDFCp,10,201
Pda7FC345Au;ba8040615p,10,201;ba801DCCDp,10,201;ba7FDD6B9p,10,201
Pda7FC388Du;ba804150Ap,10,201;ba801E47Ep,10,201;ba7FDCF75p,10,201
Pda7FC3CBFu;ba8042248p,10,201;ba801EAE7p,10,201;ba7FDC89Fp,10,201
Pda7FC40F2u;ba8043217p,10,201;ba801F22Ap,10,201;ba7FDC014p,10,201
Pda7FC4524u;ba8044253p,10,201;ba801F96Ep,10,201;ba7FDB71Bp,10,201
Pda7FC4957u;ba8045147p,10,201;ba801FF69p,10,201;ba7FDAE22p,10,201
Pda7FC4D89u;ba80460A9p,10,201;ba80206ACp,10,201;ba7FDA604p,10,201
Pda7FC51BCu;ba8047078p,10,201;ba8020CA7p,10,201;ba7FD9C30p,10,201
Pda7FC55EEu;ba8048121p,10,201;ba802137Dp,10,201;ba7FD925Dp,10,201
Pda7FC5A20u;ba8049015p,10,201;ba802189Ep,10,201;ba7FD8889p,10,201
Pda7FC5E53u;ba804A12Cp,10,201;ba8021F07p,10,201;ba7FD7DDBp,10,201
Pda7FC6285u;ba804B0FBp,10,201;ba8022427p,10,201;ba7FD732Cp,10,201
Pda7FC66B8u;ba804C0CAp,10,201;ba80228DAp,10,201;ba7FD6811p,10,201
Pda7FC6AEAu;ba804D02Cp,10,201;ba8022D20p,10,201;ba7FD5CF5p,10,201
Pda7FC6F1Du;ba804E0D5p,10,201;ba80231D3p,10,201;ba7FD50FEp,10,201
Pda7FC734Fu;ba804F17Fp,10,201;ba80235ABp,10,201;ba7FD442Dp,10,201
Pda7FC7782u;ba80500E0p,10,201;ba8023916p,10,201;ba7FD3837p,10,201
Pda7FC7BB4u;ba8050FD4p,10,201;ba8023C81p,10,201;ba7FD2CADp,10,201
Pda7FC7FE7u;ba805207Ep,10,201;ba802405Ap,10,201;ba7FD1FDCp,10,201
Pda7FC8419u;ba8052E97p,10,201;ba80241A2p,10,201;ba7FD130Bp,10,201
Pda7FC884Cu;ba8053E66p,10,201;ba8024432p,10,201;ba7FD05CCp,10,201
Pda7FC8C7Eu;ba8054C12p,10,201;ba8024655p,10,201;ba7FCFA43p,10,201
Pda7FC90B1u;ba8055B06p,10,201;ba802479Dp,10,201;ba7FCEC97p,10,201
Pda7FC94E3u;ba80568B2p,10,201;ba80248E5p,10,201;ba7FCE033p,10,201
Pda7FC9916u;ba80576CCp,10,201;ba80248E5p,10,201;ba7FCD21Ap,10,201
Pda7FC9D48u;ba80584E5p,10,201;ba8024953p,10,201;ba7FCC46Ep,10,201
Pda7FCA17Bu;ba80593D9p,10,201;ba8024A9Bp,10,201;ba7FCB6C2p,10,201
Pda7FCA5ADu;ba805A0AAp,10,201;ba8024A9Bp,10,201;ba7FCA9F1p,10,201
Pda7FCA9E0u;ba805ACA1p,10,201;ba80249C0p,10,201;ba7FC9D20p,10,201
Pda7FCAE12u;ba805B972p,10,201;ba8024A2Dp,10,201;ba7FC90BCp,10,201
Pda7FCB245u;ba805C4FBp,10,201;ba80249C0p,10,201;ba7FC84C5p,10,201
Pda7FCB677u;ba805D084p,10,201;ba8024878p,10,201;ba7FC77F4p,10,201
Pda7FCBAAAu;ba805D9EBp,10,201;ba8024730p,10,201;ba7FC6D46p,10,201
Pda7FCBEDCu;ba805E506p,10,201;ba8024655p,10,201;ba7FC614Fp,10,201
Pda7FCC30Eu;ba805EE6Dp,10,201;ba802450Dp,10,201;ba7FC56A1p,10,201
Pda7FCC741u;ba805F61Dp,10,201;ba80242EAp,10,201;ba7FC4CCDp,10,201
Pda7FCCB73u;ba805FCF3p,10,201;ba802405Ap,10,201;ba7FC4367p,10,201
Pda7FCCFA6u;ba8060511p,10,201;ba8023EA4p,10,201;ba7FC3993p,10,201
Pda7FCD3D8u;ba8060A32p,10,201;ba8023BA7p,10,201;ba7FC3175p,10,201
Pda7FCD80Bu;ba806102Dp,10,201;ba8023916p,10,201;ba7FC28EAp,10,201
Pda7FCDC3Du;ba80614E0p,10,201;ba8023619p,10,201;ba7FC2139p,10,201
Pda7FCE070u;ba806184Bp,10,201;ba80232AEp,10,201;ba7FC1A63p,10,201
Pda7FCE4A2u;ba8061BB6p,10,201;ba8022FB0p,10,201;ba7FC13FAp,10,201
Pda7FCE8D5u;ba8061CFEp,10,201;ba8022BD8p,10,201;ba7FC0EDAp,10,201
Pda7FCED07u;ba8061F21p,10,201;ba80228DAp,10,201;ba7FC09B9p,10,201
