e
M0002
Pda7F85E36u;ba82D8062p,14,208;ba7F8BCA3p,14,208;ba7CB3C40p,10,208
Pda7F94D73u;ba8092396p,14,201;ba959778Cf,14,201;ba7F734DAp,10,201
Pda7F951A5u;ba808F207p,10,201;ba970D4F8f,10,201;ba7F76C65p,10,201
Pda7F955D8u;ba808BF2Fp,10,201;ba97E2EECf,10,201;ba7F7A2A7p,10,201
Pda7F95A0Au;ba8089178p,10,201;ba98EDF5Cf,10,201;ba7F7D4A4p,10,201
Pda7F95E3Du;ba80862E6p,10,201;ba99F8FCEf,10,201;ba7F8077Cp,10,201
Pda7F9626Fu;ba808360Ap,10,201;ba9B04040f,10,201;ba7F8389Ep,10,201
Pda7F966A2u;ba8080C2Bp,10,201;ba9BF4572f,10,201;ba7F86655p,10,201
Pda7F96AD4u;ba807DF4Fp,10,201;ba9C5F26Cf,10,201;ba7F894E7p,10,201
Pda7F96F07u;ba807B726p,10,201;ba9D84E1Cf,10,201;ba7F8C1C3p,10,201
Pda7F97339u;ba8079045p,10,201;ba9E3FCD2f,10,201;ba7F8EBA2p,10,201
Pda7F9776Cu;ba8076A3Ep,10,201;ba9EFAB88f,10,201;ba7F914A6p,10,201
Pda7F97B9Eu;ba8074513p,10,201;ba9FD057Af,10,201;ba7F93D3Cp,10,201
Pda7F97FD1u;ba8072278p,10,201;baA0A5F70f,10,201;ba7F96343p,10,201
Pda7F98403u;ba806FF6Fp,10,201;baA12B7A8f,10,201;ba7F9886Ep,10,201
Pda7F98836u;ba806DE1Cp,10,201;baA21BCDCf,10,201;ba7F9AD9Ap,10,201
Pda7F98C68u;ba806BDA3p,10,201;baA2BC054f,10,201;ba7F9D0A3p,10,201
Pda7F9909Bu;ba8069D98p,10,201;baA35C3C8f,10,201;ba7F9F33Ep,10,201
Pda7F994CDu;ba8067E68p,10,201;baA3E1C00f,10,201;ba7FA1491p,10,201
Pda7F99900u;ba8066080p,10,201;baA481F78f,10,201;ba7FA350Ap,10,201
Pda7F99D32u;ba8064372p,10,201;baA53CE2Cf,10,201;ba7FA5515p,10,201
Pda7F9A165u;ba806281Ap,10,201;baA5A7B28f,10,201;ba7FA7222p,10,201
Pda7F9A597u;ba8060CC2p,10,201;baA62D360f,10,201;ba7FA8F9Dp,10,201
Pda7F9A9CAu;ba805F1D8p,10,201;baA647E9Cf,10,201;ba7FAAAF5p,10,201
Pda7F9ADFCu;ba805D75Ap,10,201;baA6CD6D8f,10,201;ba7FAC795p,10,201
Pda7F9B22Fu;ba805BF6Dp,10,201;baA788590f,10,201;ba7FAE280p,10,201
Pda7F9B661u;ba805A5CBp,10,201;baA7BDC0Cf,10,201;ba7FAFCFDp,10,201
Pda7F9BA93u;ba8058EB9p,10,201;baA828904f,10,201;ba7FB15C5p,10,201
Pda7F9BEC6u;ba8057881p,10,201;baA8AE13Cf,10,201;ba7FB2E1Fp,10,201
Pda7F9C2F8u;ba805616Fp,10,201;baA8E37B8f,10,201;ba7FB460Cp,10,201
Pda7F9C72Bu;ba8054C12p,10,201;baA933978f,10,201;ba7FB5CB1p,10,201
Pda7F9CB5Du;ba805356Dp,10,201;baA94E4B4f,10,201;ba7FB73C3p,10,201
Pda7F9CF90u;ba80524C4p,10,201;baA9EE82Cf,10,201;ba7FB86FDp,10,201
Pda7F9D3C2u;ba8050E1Fp,10,201;baAA09368f,10,201;ba7FB9E0Fp,10,201
Pda7F9D7F5u;ba804FD08p,10,201;baAA3E9E8f,10,201;ba7FBB001p,10,201
Pda7F9DC27u;ba804E961p,10,201;baAA74064f,10,201;ba7FBC483p,10,201
Pda7F9E05Au;ba804D76Fp,10,201;baAAA96E0f,10,201;ba7FBD74Fp,10,201
Pda7F9E48Cu;ba804C510p,10,201;baAADED60f,10,201;ba7FBEA89p,10,201
Pda7F9E8BFu;ba804B3F9p,10,201;baAB49A58f,10,201;ba7FBFD56p,10,201
Pda7F9ECF1u;ba804A505p,10,201;baAB64598f,10,201;ba7FC0CB7p,10,201
Pda7F9F124u;ba8049380p,10,201;baAB7F0D4f,10,201;ba7FC1EA9p,10,201
Pda7F9F556u;ba80484FAp,10,201;baABCF290f,10,201;ba7FC2E78p,10,201
Pda7F9F989u;ba8047450p,10,201;baABB4750f,10,201;ba7FC3EB4p,10,201
Pda7F9FDBBu;ba80466A4p,10,201;baABE9DD0f,10,201;ba7FC4D3Bp,10,201
Pda7FA01EEu;ba8045965p,10,201;baAC0490Cf,10,201;ba7FC5AE7p,10,201
Pda7FA0620u;ba8044A71p,10,201;baABE9DD0f,10,201;ba7FC696Dp,10,201
Pda7FA0A53u;ba8043E0Ep,10,201;baAC6F608f,10,201;ba7FC77F4p,10,201
Pda7FA0E85u;ba8043217p,10,201;baAC8A148f,10,201;ba7FC8458p,10,201
Pda7FA12B8u;ba804268Ep,10,201;baACDA300f,10,201;ba7FC9129p,10,201
Pda7FA16EAu;ba804194Fp,10,201;baACBF7C4f,10,201;ba7FC9DFAp,10,201
Pda7FA1B1Du;ba8040D59p,10,201;baACDA300f,10,201;ba7FCAA5Ep,10,201
Pda7FA1F4Fu;ba80401D0p,10,201;baACDA300f,10,201;ba7FCB5E7p,10,201
Pda7FA2382u;ba803F7FCp,10,201;baAD44FFCf,10,201;ba7FCC170p,10,201
Pda7FA27B4u;ba803ECE0p,10,201;baAD44FFCf,10,201;ba7FCCC8Cp,10,201
Pda7FA2BE7u;ba803E37Ap,10,201;baAD7A678f,10,201;ba7FCD6CDp,10,201
Pda7FA3019u;ba803DA14p,10,201;baAD951B8f,10,201;ba7FCE0A1p,10,201
Pda7FA344Bu;ba803D040p,10,201;baADCA834f,10,201;ba7FCEB4Fp,10,201
Pda7FA387Eu;ba803C747p,10,201;baADE5370f,10,201;ba7FCF4B5p,10,201
Pda7FA3CB0u;ba803BEBCp,10,201;baADFFEB0f,10,201;ba7FCFDAEp,10,201
Pda7FA40E3u;ba803B333p,10,201;baADCA834f,10,201;ba7FD085Dp,10,201
Pda7FA4515u;ba803AA3Ap,10,201;baADFFEB0f,10,201;ba7FD1230p,10,201
Pda7FA4948u;ba803A364p,10,201;baAE1A9F0f,10,201;ba7FD1974p,10,201
Pda7FA4D7Au;ba8039C21p,10,201;baAE5006Cf,10,201;ba7FD2192p,10,201
Pda7FA51ADu;ba8039395p,10,201;baAE1A9F0f,10,201;ba7FD2942p,10,201
Pda7FA55DFu;ba8038B0Ap,10,201;baAE6ABACf,10,201;ba7FD3316p,10,201
Pda7FA5A12u;ba803827Ep,10,201;baAE35530f,10,201;ba7FD3AC7p,10,201
Pda7FA5E44u;ba8037B3Bp,10,201;baADFFEB0f,10,201;ba7FD412Fp,10,201
Pda7FA6277u;ba80374D2p,10,201;baAE5006Cf,10,201;ba7FD48E0p,10,201
Pda7FA66A9u;ba8036E6Ap,10,201;baAE6ABACf,10,201;ba7FD4FB6p,10,201
Pda7FA6ADCu;ba80365DEp,10,201;baAE35530f,10,201;ba7FD5767p,10,201
Pda7FA6F0Eu;ba803612Bp,10,201;baAE6ABACf,10,201;ba7FD5CF5p,10,201
Pda7FA7341u;ba8035AC2p,10,201;baAE6ABACf,10,201;ba7FD635Dp,10,201
Pda7FA7773u;ba8035312p,10,201;baAE35530f,10,201;ba7FD6A33p,10,201
Pda7FA7BA6u;ba8034CA9p,10,201;baAE35530f,10,201;ba7FD709Cp,10,201
Pda7FA7FD8u;ba803471Bp,10,201;baAE1A9F0f,10,201;ba7FD75BCp,10,201
Pda7FA840Bu;ba80343B0p,10,201;baAE5006Cf,10,201;ba7FD7A02p,10,201
Pda7FA883Du;ba8033DB5p,10,201;baAE6ABACf,10,201;ba7FD806Bp,10,201
Pda7FA8C70u;ba8033827p,10,201;baAE5006Cf,10,201;ba7FD858Bp,10,201
Pda7FA90A2u;ba803344Fp,10,201;baAE5006Cf,10,201;ba7FD8964p,10,201
Pda7FA94D5u;ba8032C9Ep,10,201;baAE35530f,10,201;ba7FD90A7p,10,201
Pda7FA9907u;ba8032A0Ep,10,201;baAEA0228f,10,201;ba7FD94EDp,10,201
Pda7FA9D39u;ba80325C8p,10,201;baAEA0228f,10,201;ba7FD9933p,10,201
Pda7FAA16Cu;ba80320A7p,10,201;baAE6ABACf,10,201;ba7FD9D78p,10,201
Pda7FAA59Eu;ba8031CCFp,10,201;baAE856E8f,10,201;ba7FDA1BEp,10,201
Pda7FAA9D1u;ba8031889p,10,201;baAE856E8f,10,201;ba7FDA604p,10,201
Pda7FAAE03u;ba80313D6p,10,201;baAEA0228f,10,201;ba7FDAB24p,10,201
Pda7FAB236u;ba8030FFEp,10,201;baAEA0228f,10,201;ba7FDAEFDp,10,201
Pda7FAB668u;ba8030C25p,10,201;baAE856E8f,10,201;ba7FDB268p,10,201
Pda7FABA9Bu;ba80307E0p,10,201;baAEBAD68f,10,201;ba7FDB788p,10,201
Pda7FABECDu;ba8030475p,10,201;baAEA0228f,10,201;ba7FDBA86p,10,201
Pda7FAC300u;ba803010Ap,10,201;baAEBAD68f,10,201;ba7FDBE5Ep,10,201
Pda7FAC732u;ba802FE0Cp,10,201;baAEBAD68f,10,201;ba7FDC15Cp,10,201
Pda7FACB65u;ba802FAA1p,10,201;baAEBAD68f,10,201;ba7FDC4C7p,10,201
Pda7FACF97u;ba802F513p,10,201;baAEA0228f,10,201;ba7FDC9E7p,10,201
Pda7FAD3CAu;ba802F283p,10,201;baAE856E8f,10,201;ba7FDCC0Ap,10,201
Pda7FAD7FCu;ba802EFF3p,10,201;baAED58A4f,10,201;ba7FDCFE3p,10,201
Pda7FADC2Fu;ba802EB40p,10,201;baAEA0228f,10,201;ba7FDD3BBp,10,201
Pda7FAE061u;ba802E9F7p,10,201;baAE856E8f,10,201;ba7FDD496p,10,201
Pda7FAE494u;ba802E5B2p,10,201;baAE856E8f,10,201;ba7FDD8DBp,10,201
Pda7FAE8C6u;ba802E3FCp,10,201;baAED58A4f,10,201;ba7FDDBD9p,10,201
Pda7FAECF9u;ba802E024p,10,201;baAEA0228f,10,201;ba7FDDED7p,10,201
Pda7FAF12Bu;ba802DD94p,10,201;baAEA0228f,10,201;ba7FDE167p,10,201
Pda7FAF55Eu;ba802DB03p,10,201;baAED58A4f,10,201;ba7FDE4D2p,10,201
Pda7FAF990u;ba802D798p,10,201;baAEBAD68f,10,201;ba7FDE7CFp,10,201
Pda7FAFDC3u;ba802D650p,10,201;baAEA0228f,10,201;ba7FDE8AAp,10,201
Pda7FB01F5u;ba802D42Dp,10,201;baAEBAD68f,10,201;ba7FDEB3Ap,10,201
Pda7FB0628u;ba802D19Dp,10,201;baAEBAD68f,10,201;ba7FDEDCBp,10,201
Pda7FB0A5Au;ba802CE32p,10,201;baAEA0228f,10,201;ba7FDF0C8p,10,201
Pda7FB0E8Cu;ba802CCEAp,10,201;baAEA0228f,10,201;ba7FDF210p,10,201
Pda7FB12BFu;ba802CA5Ap,10,201;baAEA0228f,10,201;ba7FDF4A1p,10,201
Pda7FB16F1u;ba802C8A4p,10,201;baAED58A4f,10,201;ba7FDF731p,10,201
Pda7FB1B24u;ba802C7C9p,10,201;baAED58A4f,10,201;ba7FDF80Cp,10,201
Pda7FB1F56u;ba802C614p,10,201;baAED58A4f,10,201;ba7FDF9C1p,10,201
Pda7FB2389u;ba802C5A7p,10,201;baAF25A64f,10,201;ba7FDFB77p,10,201
Pda7FB27BBu;ba802C3F1p,10,201;baAF405A0f,10,201;ba7FDFD9Ap,10,201
Pda7FB2BEEu;ba802C0F3p,10,201;baAF0AF20f,10,201;ba7FDFFBCp,10,201
Pda7FB3020u;ba802C0F3p,10,201;baAF5B0DCf,10,201;ba7FE0105p,10,201
Pda7FB3453u;ba802BFABp,10,201;baAF75C1Cf,10,201;ba7FE02BAp,10,201
Pda7FB3885u;ba802BED1p,10,201;baAF90758f,10,201;ba7FE0402p,10,201
Pda7FB3CB8u;ba802BD1Bp,10,201;baAFC5DD8f,10,201;ba7FE0692p,10,201
Pda7FB40EAu;ba802BB66p,10,201;baAFAB298f,10,201;ba7FE07DBp,10,201
Pda7FB451Du;ba802BAF8p,10,201;baAFE0918f,10,201;ba7FE0923p,10,201
Pda7FB494Fu;ba802BAF8p,10,201;baB015F94f,10,201;ba7FE09FDp,10,201
Pda7FB4D82u;ba802BA1Dp,10,201;baB04B610f,10,201;ba7FE0BB3p,10,201
Pda7FB51B4u;ba802B868p,10,201;baB04B610f,10,201;ba7FE0D68p,10,201
Pda7FB55E7u;ba802B6B2p,10,201;baB080C8Cf,10,201;ba7FE0FF9p,10,201
Pda7FB5A19u;ba802B6B2p,10,201;baB09B7CCf,10,201;ba7FE1066p,10,201
Pda7FB5E4Cu;ba802B645p,10,201;baB0D0E4Cf,10,201;ba7FE11AEp,10,201
Pda7FB627Eu;ba802B78Dp,10,201;baB13BB40f,10,201;ba7FE121Cp,10,201
Pda7FB66B1u;ba802B645p,10,201;baB156684f,10,201;ba7FE13D1p,10,201
Pda7FB6AE3u;ba802B5D8p,10,201;baB1A683Cf,10,201;ba7FE1587p,10,201
Pda7FB6F16u;ba802B5D8p,10,201;baB1C137Cf,10,201;ba7FE15F4p,10,201
Pda7FB7348u;ba802B490p,10,201;baB1DBEB8f,10,201;ba7FE17A9p,10,201
Pda7FB777Au;ba802B5D8p,10,201;baB246BB4f,10,201;ba7FE1817p,10,201
Pda7FB7BADu;ba802B720p,10,201;baB2B18ACf,10,201;ba7FE1884p,10,201
Pda7FB7FDFu;ba802B6B2p,10,201;baB2CC3ECf,10,201;ba7FE195Fp,10,201
Pda7FB8412u;ba802B645p,10,201;baB3370E8f,10,201;ba7FE1B82p,10,201
Pda7FB8844u;ba802B7FBp,10,201;baB3A1DE0f,10,201;ba7FE1B82p,10,201
Pda7FB8C77u;ba802B8D5p,10,201;baB3F1F9Cf,10,201;ba7FE1BEFp,10,201
Pda7FB90A9u;ba802BA1Dp,10,201;baB4777D4f,10,201;ba7FE1CCAp,10,201
Pda7FB94DCu;ba802BBD3p,10,201;baB4FD00Cf,10,201;ba7FE1D37p,10,201
Pda7FB990Eu;ba802BCAEp,10,201;baB54D1C8f,10,201;ba7FE1DA5p,10,201
Pda7FB9D41u;ba802BF3Ep,10,201;baB5ED540f,10,201;ba7FE1DA5p,10,201
Pda7FBA173u;ba802C1CEp,10,201;baB68D8B8f,10,201;ba7FE1DA5p,10,201
Pda7FBA5A6u;ba802C3F1p,10,201;baB72DC2Cf,10,201;ba7FE1E12p,10,201
Pda7FBA9D8u;ba802C6EFp,10,201;baB7E8AE4f,10,201;ba7FE1E12p,10,201
Pda7FBAE0Bu;ba802C97Fp,10,201;baB888E5Cf,10,201;ba7FE1E12p,10,201
Pda7FBB23Du;ba802CC7Dp,10,201;baB943D14f,10,201;ba7FE1E12p,10,201
Pda7FBB670u;ba802CE32p,10,201;baB9E4088f,10,201;ba7FE1EEDp,10,201
Pda7FBBAA2u;ba802D278p,10,201;baBAD45BCf,10,201;ba7FE1E7Fp,10,201
Pda7FBBED5u;ba802D5E3p,10,201;baBB8F474f,10,201;ba7FE1E12p,10,201
Pda7FBC307u;ba802DA96p,10,201;baBC64E60f,10,201;ba7FE1CCAp,10,201
Pda7FBC73Au;ba802DE6Ep,10,201;baBD8AA10f,10,201;ba7FE1DA5p,10,201
Pda7FBCB6Cu;ba802E247p,10,201;baBE60408f,10,201;ba7FE1D37p,10,201
Pda7FBCF9Fu;ba802E842p,10,201;baBF6B478f,10,201;ba7FE1B82p,10,201
Pda7FBD3D1u;ba802EC1Ap,10,201;baC05B9A8f,10,201;ba7FE1B82p,10,201
Pda7FBD804u;ba802F0CDp,10,201;baC14BEE0f,10,201;ba7FE1AA7p,10,201
Pda7FBDC36u;ba802F5EEp,10,201;baC28C5C8f,10,201;ba7FE1AA7p,10,201
Pda7FBE069u;ba802FC57p,10,201;baC3CCCB8f,10,201;ba7FE195Fp,10,201
Pda7FBE49Bu;ba8030252p,10,201;baC4D7D28f,10,201;ba7FE17A9p,10,201
Pda7FBE8CDu;ba8030772p,10,201;baC5FD8D8f,10,201;ba7FE173Cp,10,201
Pda7FBED00u;ba8030D00p,10,201;baC708948f,10,201;ba7FE15F4p,10,201
Pda7FBF132u;ba803151Ep,10,201;baC87E6B8f,10,201;ba7FE13D1p,10,201
Pda7FBF565u;ba8031B19p,10,201;baC9A4268f,10,201;ba7FE1289p,10,201
Pda7FBF997u;ba80323A5p,10,201;baCAFF498f,10,201;ba7FE0F8Bp,10,201
Pda7FBFDCAu;ba8032A7Bp,10,201;baCC5A6C0f,10,201;ba7FE0E43p,10,201
Pda7FC01FCu;ba80330E4p,10,201;baCDB58E8f,10,201;ba7FE0D68p,10,201
Pda7FC062Fu;ba8033894p,10,201;baCEDB498f,10,201;ba7FE0A6Bp,10,201
Pda7FC0A61u;ba80340B2p,10,201;baD0366D0f,10,201;ba7FE07DBp,10,201
Pda7FC0E94u;ba8034A19p,10,201;baD1AC438f,10,201;ba7FE0470p,10,201
Pda7FC12C6u;ba8035237p,10,201;baD2ECB20f,10,201;ba7FE0172p,10,201
Pda7FC16F9u;ba8035A55p,10,201;baD42D210f,10,201;ba7FDFE74p,10,201
Pda7FC1B2Bu;ba80365DEp,10,201;baD5F3138f,10,201;ba7FDFA2Fp,10,201
Pda7FC1F5Eu;ba8036F44p,10,201;baD74E360f,10,201;ba7FDF656p,10,201
Pda7FC2390u;ba8037B3Bp,10,201;baD914290f,10,201;ba7FDF1A3p,10,201
Pda7FC27C3u;ba803850Ep,10,201;baDA6F4B8f,10,201;ba7FDED5Dp,10,201
Pda7FC2BF5u;ba8039097p,10,201;baDBFFD60f,10,201;ba7FDE83Dp,10,201
Pda7FC3028u;ba8039A6Bp,10,201;baDD40450f,10,201;ba7FDE38Ap,10,201
Pda7FC345Au;ba803A587p,10,201;baDEB61B8f,10,201;ba7FDDE69p,10,201
Pda7FC388Du;ba803B17Dp,10,201;ba8018A58p,10,201;ba7FDD8DBp,10,201
Pda7FC3CBFu;ba803BD74p,10,201;ba8019053p,10,201;ba7FDD2E0p,10,201
Pda7FC40F2u;ba803C96Ap,10,201;ba801964Fp,10,201;ba7FDCCE5p,10,201
Pda7FC4524u;ba803D33Ep,10,201;ba8019B02p,10,201;ba7FDC7C4p,10,201
Pda7FC4957u;ba803E0EAp,10,201;ba801A0FDp,10,201;ba7FDC014p,10,201
Pda7FC4D89u;ba803EC73p,10,201;ba801A61Ep,10,201;ba7FDB9ABp,10,201
Pda7FC51BCu;ba803F944p,10,201;ba801AB3Ep,10,201;ba7FDB1FAp,10,201
Pda7FC55EEu;ba804053Bp,10,201;ba801AFF1p,10,201;ba7FDAAB7p,10,201
Pda7FC5A20u;ba804120Cp,10,201;ba801B4A4p,10,201;ba7FDA299p,10,201
Pda7FC5E53u;ba8041E02p,10,201;ba801B8EAp,10,201;ba7FD9AE8p,10,201
Pda7FC6285u;ba8042A66p,10,201;ba801BD30p,10,201;ba7FD92CAp,10,201
Pda7FC66B8u;ba8043738p,10,201;ba801C108p,10,201;ba7FD89D1p,10,201
Pda7FC6AEAu;ba8044409p,10,201;ba801C54Ep,10,201;ba7FD8146p,10,201
Pda7FC6F1Du;ba8044F92p,10,201;ba801C84Bp,10,201;ba7FD78BAp,10,201
Pda7FC734Fu;ba8045C63p,10,201;ba801CBB6p,10,201;ba7FD6F54p,10,201
Pda7FC7782u;ba80468C7p,10,201;ba801CEB4p,10,201;ba7FD65EEp,10,201
Pda7FC7BB4u;ba804752Bp,10,201;ba801D1B2p,10,201;ba7FD5C87p,10,201
Pda7FC7FE7u;ba804818Fp,10,201;ba801D4AFp,10,201;ba7FD5321p,10,201
Pda7FC8419u;ba8048CAAp,10,201;ba801D665p,10,201;ba7FD49BBp,10,201
Pda7FC884Cu;ba8049834p,10,201;ba801D81Ap,10,201;ba7FD3FE7p,10,201
Pda7FC8C7Eu;ba804A42Ap,10,201;ba801D9D0p,10,201;ba7FD35A6p,10,201
Pda7FC90B1u;ba804AFB3p,10,201;ba801DB18p,10,201;ba7FD2B65p,10,201
Pda7FC94E3u;ba804BBAAp,10,201;ba801DCCDp,10,201;ba7FD2124p,10,201
Pda7FC9916u;ba804C57Dp,10,201;ba801DCCDp,10,201;ba7FD1751p,10,201
Pda7FC9D48u;ba804D106p,10,201;ba801DDA8p,10,201;ba7FD0CA2p,10,201
Pda7FCA17Bu;ba804DC22p,10,201;ba801DE16p,10,201;ba7FD01F4p,10,201
Pda7FCA5ADu;ba804E73Ep,10,201;ba801DEF0p,10,201;ba7FCF7B3p,10,201
Pda7FCA9E0u;ba804F1ECp,10,201;ba801DFCBp,10,201;ba7FCEDDFp,10,201
Pda7FCAE12u;ba804FC9Bp,10,201;ba801DFCBp,10,201;ba7FCE331p,10,201
Pda7FCB245u;ba80504B9p,10,201;ba801DEF0p,10,201;ba7FCDA38p,10,201
Pda7FCB677u;ba8050EFAp,10,201;ba801DF5Ep,10,201;ba7FCD065p,10,201
Pda7FCBAAAu;ba8051860p,10,201;ba801DF5Ep,10,201;ba7FCC6FEp,10,201
Pda7FCBEDCu;ba8052011p,10,201;ba801DE16p,10,201;ba7FCBE05p,10,201
Pda7FCC30Eu;ba8052909p,10,201;ba801DE83p,10,201;ba7FCB57Ap,10,201
Pda7FCC741u;ba805304Dp,10,201;ba801DD3Bp,10,201;ba7FCACEEp,10,201
Pda7FCCB73u;ba805356Dp,10,201;ba801DB85p,10,201;ba7FCA618p,10,201
Pda7FCCFA6u;ba8053D1Ep,10,201;ba801DB18p,10,201;ba7FC9DFAp,10,201
Pda7FCD3D8u;ba80542ACp,10,201;ba801D962p,10,201;ba7FC96B7p,10,201
Pda7FCD80Bu;ba80547CCp,10,201;ba801D81Ap,10,201;ba7FC904Ep,10,201
Pda7FCDC3Du;ba8054C12p,10,201;ba801D665p,10,201;ba7FC8A53p,10,201
Pda7FCE070u;ba80550C5p,10,201;ba801D4AFp,10,201;ba7FC83EBp,10,201
Pda7FCE4A2u;ba8055356p,10,201;ba801D28Cp,10,201;ba7FC7F37p,10,201
Pda7FCE8D5u;ba80555E6p,10,201;ba801CFFCp,10,201;ba7FC7A17p,10,201
