e
M0002
Pda7F85E36u;ba843B7DCp,14,208;ba7F885F3p,14,208;ba7B4CE17p,10,208
Pda7F8D7EEu;ba80ED2C8p,14,202;ba57BCBBCf,14,202;ba7F0884Dp,10,202
Pda7F8DC20u;ba80E68D3p,14,202;ba5B1338Cf,14,202;ba7F0FFEEp,10,202
Pda7F8E052u;ba80DFD29p,14,202;ba5D9416Cf,14,202;ba7F175DAp,10,202
Pda7F8E485u;ba80D992Fp,14,202;ba607FC40f,14,202;ba7F1E5CAp,10,202
Pda7F8E8B7u;ba80D38A0p,14,202;ba6295D22f,14,202;ba7F24EE4p,10,202
Pda7F8ECEAu;ba80CDB0Fp,10,201;ba65817FAf,10,201;ba7F2B86Bp,10,201
Pda7F8F11Cu;ba80C83E7p,10,201;ba68025D6f,10,201;ba7F319D5p,10,201
Pda7F8F54Fu;ba80C2CBFp,14,201;ba6A186B8f,14,201;ba7F37989p,10,201
Pda7F8F981u;ba80BDA49p,14,201;ba6C492DAf,14,201;ba7F3D4F7p,10,201
Pda7F8FDB4u;ba80B8AD2p,14,201;ba6E94A38f,14,201;ba7F42DD5p,10,201
Pda7F901E6u;ba80B3B5Ap,14,201;ba70252E2f,14,201;ba7F483B5p,10,201
Pda7F90619u;ba80AF2B8p,14,201;ba723B3C4f,14,201;ba7F4D4E2p,10,201
Pda7F90A4Bu;ba80AAAF1p,14,201;ba74514A6f,14,201;ba7F52535p,10,201
Pda7F90E7Eu;ba80A654Dp,14,201;ba76173CDf,14,201;ba7F5721Cp,10,201
Pda7F912B0u;ba80A2382p,14,201;ba77C27B6f,14,201;ba7F5BABEp,10,201
Pda7F916E3u;ba809E149p,14,201;ba7938521f,14,201;ba7F602F2p,10,201
Pda7F91B15u;ba809A3C3p,14,201;ba7AE3909f,14,201;ba7F6474Ep,10,201
Pda7F91F48u;ba80968CDp,14,201;ba7CA9830f,14,201;ba7F68987p,10,201
Pda7F9237Au;ba8092C8Fp,14,201;ba7DE9F1Ef,14,201;ba7F6CAE5p,10,201
Pda7F927ADu;ba808F572p,14,201;ba7F7A7C8f,14,201;ba7F7086Bp,10,201
Pda7F92BDFu;ba808BF2Fp,14,201;ba80D59F4f,14,201;ba7F7443Cp,10,201
Pda7F93012u;ba808887Fp,14,201;ba81E0A65f,14,201;ba7F77F31p,10,201
Pda7F93444u;ba80856F0p,14,201;ba8306615f,14,201;ba7F7B574p,10,201
Pda7F93877u;ba80824F3p,14,201;ba8496EBEf,14,201;ba7F7EDD9p,10,201
Pda7F93CA9u;ba807F5F4p,14,201;ba85A1F30f,14,201;ba7F8211Ep,10,201
Pda7F940DCu;ba807C7CFp,14,201;ba86FD15Cf,14,201;ba7F854D1p,10,201
Pda7F9450Eu;ba8079B61p,14,201;ba87ED68Ff,14,201;ba7F88518p,10,201
Pda7F94941u;ba8076FCCp,14,201;ba88F8700f,14,201;ba7F8B4F2p,10,201
Pda7F94D73u;ba80745EEp,14,201;ba89E8C33f,14,201;ba7F8E2A9p,10,201
Pda7F951A5u;ba8071C7Cp,14,201;ba8ABE627f,14,201;ba7F90F85p,10,201
Pda7F955D8u;ba806F52Ep,14,201;ba8BC9699f,14,201;ba7F93B19p,10,201
Pda7F95A0Au;ba806CD05p,14,201;ba8C4EED0f,14,201;ba7F96566p,10,201
Pda7F95E3Du;ba806A9FCp,14,201;ba8D74A81f,14,201;ba7F98D21p,10,201
Pda7F9626Fu;ba80685ABp,14,201;ba8E7FAF1f,14,201;ba7F9B5B8p,10,201
Pda7F966A2u;ba806637Dp,14,201;ba8F3A9A7f,14,201;ba7F9DAE4p,10,201
Pda7F96AD4u;ba8064297p,14,201;ba8FF585Df,14,201;ba7F9FEC7p,10,201
Pda7F96F07u;ba8062069p,14,201;ba9095BD4f,14,201;ba7FA2385p,10,201
Pda7F97339u;ba805FF83p,14,201;ba9135F4Af,14,201;ba7FA46FBp,10,201
Pda7F9776Cu;ba805E276p,14,201;ba922647Ef,14,201;ba7FA67E1p,10,201
Pda7F97B9Eu;ba805C4FBp,14,201;ba9291178f,14,201;ba7FA8711p,10,201
Pda7F97FD1u;ba805A9A3p,14,201;ba9366B6Cf,14,201;ba7FAA5D4p,10,201
Pda7F98403u;ba8058DDEp,14,201;ba93EC3A4f,14,201;ba7FAC3BDp,10,201
Pda7F98836u;ba8057286p,14,201;ba94A725Af,14,201;ba7FAE212p,10,201
Pda7F98C68u;ba8055809p,14,201;ba952CA92f,14,201;ba7FAFEB2p,10,201
Pda7F9909Bu;ba8053ED4p,14,201;ba95CCE0Af,14,201;ba7FB1A78p,10,201
Pda7F994CDu;ba8052679p,14,201;ba9652642f,14,201;ba7FB34F5p,10,201
Pda7F99900u;ba8050EFAp,10,201;ba970D4F8f,10,201;ba7FB4F72p,10,201
Pda7F99D32u;ba804F8C2p,10,201;ba97781F2f,10,201;ba7FB675Fp,10,201
Pda7F9A165u;ba804DF8Dp,10,201;ba97AD86Ef,10,201;ba7FB816Fp,10,201
Pda7F9A597u;ba804CB0Bp,10,201;ba9818568f,10,201;ba7FB97A6p,10,201
Pda7F9A9CAu;ba804B764p,10,201;ba98EDF5Cf,10,201;ba7FBAEB9p,10,201
Pda7F9ADFCu;ba804A2E2p,10,201;ba9973794f,10,201;ba7FBC55Dp,10,201
Pda7F9B22Fu;ba8048DF3p,10,201;ba99A8E12f,10,201;ba7FBDB28p,10,201
Pda7F9B661u;ba8047C6Ep,10,201;ba9A2E64Cf,10,201;ba7FBEECFp,10,201
Pda7F9BA93u;ba8046A0Fp,10,201;ba9A99346f,10,201;ba7FC02E3p,10,201
Pda7F9BEC6u;ba804581Dp,10,201;ba9AB3E84f,10,201;ba7FC1543p,10,201
Pda7F9C2F8u;ba8044706p,10,201;ba9B6ED3Af,10,201;ba7FC2957p,10,201
Pda7F9C72Bu;ba804365Dp,10,201;ba9BBEEF6f,10,201;ba7FC3B49p,10,201
Pda7F9CB5Du;ba80424D8p,10,201;ba9C0F0B0f,10,201;ba7FC4E15p,10,201
Pda7F9CF90u;ba804150Ap,10,201;ba9C4472Ef,10,201;ba7FC5EBFp,10,201
Pda7F9D3C2u;ba8040460p,10,201;ba9C79DAAf,10,201;ba7FC7043p,10,201
Pda7F9D7F5u;ba803F6B4p,10,201;ba9D1A120f,10,201;ba7FC8080p,10,201
Pda7F9DC27u;ba803E7C0p,10,201;ba9D4F7A0f,10,201;ba7FC904Ep,10,201
Pda7F9E05Au;ba803D9A7p,10,201;ba9D84E1Cf,10,201;ba7FC9F42p,10,201
Pda7F9E48Cu;ba803CB8Dp,10,201;ba9DBA49Af,10,201;ba7FCAE37p,10,201
Pda7F9E8BFu;ba803BD74p,10,201;ba9E0A654f,10,201;ba7FCBD98p,10,201
Pda7F9ECF1u;ba803B258p,10,201;ba9E5A810f,10,201;ba7FCC9FCp,10,201
Pda7F9F124u;ba803A4ACp,10,201;ba9E7534Ef,10,201;ba7FCD815p,10,201
Pda7F9F556u;ba8039A6Bp,10,201;ba9EC5508f,10,201;ba7FCE39Ep,10,201
Pda7F9F989u;ba8038D2Cp,10,201;ba9EFAB88f,10,201;ba7FCF1B8p,10,201
Pda7F9FDBBu;ba80382EBp,10,201;ba9F156C6f,10,201;ba7FCFC66p,10,201
Pda7FA01EEu;ba80377D0p,10,201;ba9F4AD40f,10,201;ba7FD085Dp,10,201
Pda7FA0620u;ba8036D8Fp,10,201;ba9F9AEFEf,10,201;ba7FD13E6p,10,201
Pda7FA0A53u;ba803634Ep,10,201;ba9FEB0BAf,10,201;ba7FD1F6Fp,10,201
Pda7FA0E85u;ba803597Ap,10,201;ba9FEB0BAf,10,201;ba7FD2942p,10,201
Pda7FA12B8u;ba8034F39p,10,201;baA005BF8f,10,201;ba7FD33F1p,10,201
Pda7FA16EAu;ba8034566p,10,201;baA0708F4f,10,201;ba7FD3F7Ap,10,201
Pda7FA1B1Du;ba8033DB5p,10,201;baA08B430f,10,201;ba7FD4798p,10,201
Pda7FA1F4Fu;ba80336DFp,10,201;baA0F6128f,10,201;ba7FD5024p,10,201
Pda7FA2382u;ba8032BC3p,10,201;baA0F6128f,10,201;ba7FD5B3Fp,10,201
Pda7FA27B4u;ba8032412p,10,201;baA12B7A8f,10,201;ba7FD63CBp,10,201
Pda7FA2BE7u;ba8031C62p,10,201;baA17B960f,10,201;ba7FD6CC4p,10,201
Pda7FA3019u;ba80314B1p,10,201;baA17B960f,10,201;ba7FD7474p,10,201
Pda7FA344Bu;ba8030DDBp,10,201;baA1B0FE0f,10,201;ba7FD7C25p,10,201
Pda7FA387Eu;ba80304E2p,10,201;baA1CBB20f,10,201;ba7FD858Bp,10,201
Pda7FA3CB0u;ba803002Fp,10,201;baA20119Cf,10,201;ba7FD8B19p,10,201
Pda7FA40E3u;ba802F811p,10,201;baA21BCDCf,10,201;ba7FD93A5p,10,201
Pda7FA4515u;ba802F283p,10,201;baA2869D4f,10,201;ba7FD9AE8p,10,201
Pda7FA4948u;ba802EBADp,10,201;baA2869D4f,10,201;ba7FDA1BEp,10,201
Pda7FA4D7Au;ba802E46Ap,10,201;baA2A1514f,10,201;ba7FDA96Fp,10,201
Pda7FA51ADu;ba802DEDCp,10,201;baA2A1514f,10,201;ba7FDAEFDp,10,201
Pda7FA55DFu;ba802D873p,10,201;baA2BC054f,10,201;ba7FDB5D3p,10,201
Pda7FA5A12u;ba802D353p,10,201;baA30C20Cf,10,201;ba7FDBC3Bp,10,201
Pda7FA5E44u;ba802CE32p,10,201;baA326D4Cf,10,201;ba7FDC1C9p,10,201
Pda7FA6277u;ba802C75Cp,10,201;baA326D4Cf,10,201;ba7FDC89Fp,10,201
Pda7FA66A9u;ba802C539p,10,201;baA35C3C8f,10,201;ba7FDCB9Dp,10,201
Pda7FA6ADCu;ba802BD88p,10,201;baA376F08f,10,201;ba7FDD3BBp,10,201
Pda7FA6F0Eu;ba802B8D5p,10,201;baA376F08f,10,201;ba7FDD86Ep,10,201
Pda7FA7341u;ba802B422p,10,201;baA391A44f,10,201;ba7FDDD8Ep,10,201
Pda7FA7773u;ba802AFDCp,10,201;baA3AC584f,10,201;ba7FDE242p,10,201
Pda7FA7BA6u;ba802AABCp,10,201;baA3FC740f,10,201;ba7FDE8AAp,10,201
Pda7FA7FD8u;ba802A676p,10,201;baA3E1C00f,10,201;ba7FDEC83p,10,201
Pda7FA840Bu;ba802A1C3p,10,201;baA3E1C00f,10,201;ba7FDF136p,10,201
Pda7FA883Du;ba8029E58p,10,201;baA3E1C00f,10,201;ba7FDF4A1p,10,201
Pda7FA8C70u;ba8029AEDp,10,201;baA41727Cf,10,201;ba7FDF8E6p,10,201
Pda7FA90A2u;ba8029715p,10,201;baA41727Cf,10,201;ba7FDFCBFp,10,201
Pda7FA94D5u;ba80293AAp,10,201;baA431DBCf,10,201;ba7FE0097p,10,201
Pda7FA9907u;ba802903Fp,10,201;baA44C8FCf,10,201;ba7FE0470p,10,201
Pda7FA9D39u;ba8028DAFp,10,201;baA481F78f,10,201;ba7FE07DBp,10,201
Pda7FAA16Cu;ba8028969p,10,201;baA49CAB4f,10,201;ba7FE0C8Ep,10,201
Pda7FAA59Eu;ba80286D9p,10,201;baA4B75F4f,10,201;ba7FE0F8Bp,10,201
Pda7FAA9D1u;ba8028300p,10,201;baA4D2134f,10,201;ba7FE13D1p,10,201
Pda7FAAE03u;ba8027F28p,10,201;baA4B75F4f,10,201;ba7FE173Cp,10,201
Pda7FAB236u;ba8027D72p,10,201;baA4ECC74f,10,201;ba7FE19CCp,10,201
Pda7FAB668u;ba8027A75p,10,201;baA5222F0f,10,201;ba7FE1DA5p,10,201
Pda7FABA9Bu;ba8027777p,10,201;baA5222F0f,10,201;ba7FE20A2p,10,201
Pda7FABECDu;ba80275C2p,10,201;baA55796Cf,10,201;ba7FE2333p,10,201
Pda7FAC300u;ba802740Cp,10,201;baA5724ACf,10,201;ba7FE2555p,10,201
Pda7FAC732u;ba8026FC6p,10,201;baA55796Cf,10,201;ba7FE292Ep,10,201
Pda7FACB65u;ba8026FC6p,10,201;baA5C2664f,10,201;ba7FE2AE3p,10,201
Pda7FACF97u;ba8026B81p,10,201;baA5C2664f,10,201;ba7FE2F29p,10,201
Pda7FAD3CAu;ba8026A38p,10,201;baA5DD1A4f,10,201;ba7FE30DFp,10,201
Pda7FAD7FCu;ba80267A8p,10,201;baA5C2664f,10,201;ba7FE3301p,10,201
Pda7FADC2Fu;ba8026518p,10,201;baA5DD1A4f,10,201;ba7FE35FFp,10,201
Pda7FAE061u;ba8026362p,10,201;baA5F7CE4f,10,201;ba7FE3822p,10,201
Pda7FAE494u;ba80260D2p,10,201;baA5F7CE4f,10,201;ba7FE3AB2p,10,201
Pda7FAE8C6u;ba8025F1Dp,10,201;baA612824f,10,201;ba7FE3CD5p,10,201
Pda7FAECF9u;ba8025DD5p,10,201;baA62D360f,10,201;ba7FE3E8Bp,10,201
Pda7FAF12Bu;ba8025CFAp,10,201;baA6629DCf,10,201;ba7FE4040p,10,201
Pda7FAF55Eu;ba8025921p,10,201;baA647E9Cf,10,201;ba7FE43ABp,10,201
Pda7FAF990u;ba8025921p,10,201;baA69805Cf,10,201;ba7FE44F3p,10,201
Pda7FAFDC3u;ba8025691p,10,201;baA67D51Cf,10,201;ba7FE4716p,10,201
Pda7FB01F5u;ba8025549p,10,201;baA69805Cf,10,201;ba7FE48CCp,10,201
Pda7FB0628u;ba80254DCp,10,201;baA6E8214f,10,201;ba7FE4A81p,10,201
Pda7FB0A5Au;ba8025326p,10,201;baA6B2B98f,10,201;ba7FE4B5Cp,10,201
Pda7FB0E8Cu;ba80251DEp,10,201;baA6CD6D8f,10,201;ba7FE4D11p,10,201
Pda7FB12BFu;ba802524Bp,10,201;baA702D54f,10,201;ba7FE4D7Fp,10,201
Pda7FB16F1u;ba8025103p,10,201;baA752F10f,10,201;ba7FE500Fp,10,201
Pda7FB1B24u;ba8024FBBp,10,201;baA7383D0f,10,201;ba7FE50EAp,10,201
Pda7FB1F56u;ba8025029p,10,201;baA7A30CCf,10,201;ba7FE5232p,10,201
Pda7FB2389u;ba8024F4Ep,10,201;baA7A30CCf,10,201;ba7FE530Cp,10,201
Pda7FB27BBu;ba8024EE0p,10,201;baA7D8748f,10,201;ba7FE5455p,10,201
Pda7FB2BEEu;ba8024E06p,10,201;baA828904f,10,201;ba7FE5677p,10,201
Pda7FB3020u;ba8024E06p,10,201;baA85DF80f,10,201;ba7FE5752p,10,201
Pda7FB3453u;ba8024D98p,10,201;baA85DF80f,10,201;ba7FE57C0p,10,201
Pda7FB3885u;ba8024CBEp,10,201;baA8935FCf,10,201;ba7FE5975p,10,201
Pda7FB3CB8u;ba8024D98p,10,201;baA8E37B8f,10,201;ba7FE59E2p,10,201
Pda7FB40EAu;ba8024D98p,10,201;baA94E4B4f,10,201;ba7FE5B98p,10,201
Pda7FB451Du;ba8024E06p,10,201;baA983B30f,10,201;ba7FE5C05p,10,201
Pda7FB494Fu;ba8024CBEp,10,201;baA983B30f,10,201;ba7FE5D4Dp,10,201
Pda7FB4D82u;ba8024E73p,10,201;baA9EE82Cf,10,201;ba7FE5D4Dp,10,201
Pda7FB51B4u;ba8024E73p,10,201;baAA3E9E8f,10,201;ba7FE5E96p,10,201
Pda7FB55E7u;ba8024EE0p,10,201;baAA74064f,10,201;ba7FE5F03p,10,201
Pda7FB5A19u;ba8025096p,10,201;baAB143DCf,10,201;ba7FE5FDEp,10,201
Pda7FB5E4Cu;ba8025029p,10,201;baAB143DCf,10,201;ba7FE604Bp,10,201
Pda7FB627Eu;ba8025096p,10,201;baAB7F0D4f,10,201;ba7FE6193p,10,201
Pda7FB66B1u;ba8025326p,10,201;baAC0490Cf,10,201;ba7FE6126p,10,201
Pda7FB6AE3u;ba8025394p,10,201;baAC39F88f,10,201;ba7FE6193p,10,201
Pda7FB6F16u;ba8025401p,10,201;baAC8A148f,10,201;ba7FE626Ep,10,201
Pda7FB7348u;ba80255B6p,10,201;baAD0F980f,10,201;ba7FE62DBp,10,201
Pda7FB777Au;ba8025691p,10,201;baAD5FB38f,10,201;ba7FE6349p,10,201
Pda7FB7BADu;ba80257D9p,10,201;baADCA834f,10,201;ba7FE63B6p,10,201
Pda7FB7FDFu;ba8025921p,10,201;baAE5006Cf,10,201;ba7FE6491p,10,201
Pda7FB8412u;ba8025AD7p,10,201;baAEA0228f,10,201;ba7FE6423p,10,201
Pda7FB8844u;ba8025C1Fp,10,201;baAF25A64f,10,201;ba7FE64FEp,10,201
Pda7FB8C77u;ba8025E42p,10,201;baAF90758f,10,201;ba7FE6491p,10,201
Pda7FB90A9u;ba8026288p,10,201;baB04B610f,10,201;ba7FE6349p,10,201
Pda7FB94DCu;ba802643Dp,10,201;baB0B6308f,10,201;ba7FE6349p,10,201
Pda7FB990Eu;ba8026816p,10,201;baB18BD00f,10,201;ba7FE62DBp,10,201
Pda7FB9D41u;ba8026AA6p,10,201;baB22C074f,10,201;ba7FE62DBp,10,201
Pda7FBA173u;ba8026E11p,10,201;baB2E6F28f,10,201;ba7FE626Ep,10,201
Pda7FBA5A6u;ba802717Cp,10,201;baB36C764f,10,201;ba7FE6126p,10,201
Pda7FBA9D8u;ba8027554p,10,201;baB45CC98f,10,201;ba7FE6126p,10,201
Pda7FBAE0Bu;ba80277E4p,10,201;baB4E24D0f,10,201;ba7FE60B8p,10,201
Pda7FBB23Du;ba8027D05p,10,201;baB5B7EC4f,10,201;ba7FE5F03p,10,201
Pda7FBB670u;ba8028225p,10,201;baB6DDA74f,10,201;ba7FE5E96p,10,201
Pda7FBBAA2u;ba80285FEp,10,201;baB7B3468f,10,201;ba7FE5E28p,10,201
Pda7FBBED5u;ba80289D6p,10,201;baB8537DCf,10,201;ba7FE5CE0p,10,201
Pda7FBC307u;ba8028E89p,10,201;baB943D14f,10,201;ba7FE5C05p,10,201
Pda7FBC73Au;ba80292CFp,10,201;baBA19704f,10,201;ba7FE5B2Bp,10,201
Pda7FBCB6Cu;ba802985Dp,10,201;baBB24774f,10,201;ba7FE59E2p,10,201
Pda7FBCF9Fu;ba8029D7Dp,10,201;baBBFA168f,10,201;ba7FE582Dp,10,201
Pda7FBD3D1u;ba802A29Ep,10,201;baBD051DCf,10,201;ba7FE5752p,10,201
Pda7FBD804u;ba802A82Cp,10,201;baBDF5710f,10,201;ba7FE559Dp,10,201
Pda7FBDC36u;ba802AD4Cp,10,201;baBF00780f,10,201;ba7FE54C2p,10,201
Pda7FBE069u;ba802B3B5p,10,201;baC00B7F0f,10,201;ba7FE529Fp,10,201
Pda7FBE49Bu;ba802B9B0p,10,201;baC0FBD28f,10,201;ba7FE507Cp,10,201
Pda7FBE8CDu;ba802BF3Ep,10,201;baC206D98f,10,201;ba7FE4F34p,10,201
Pda7FBED00u;ba802C45Ep,10,201;baC2F72C0f,10,201;ba7FE4DECp,10,201
Pda7FBF132u;ba802C9ECp,10,201;baC3CCCB8f,10,201;ba7FE4BC9p,10,201
Pda7FBF565u;ba802D055p,10,201;baC4D7D28f,10,201;ba7FE49A6p,10,201
Pda7FBF997u;ba802D575p,10,201;baC5C8260f,10,201;ba7FE485Ep,10,201
Pda7FBFDCAu;ba802DE01p,10,201;baC6EDE10f,10,201;ba7FE4486p,10,201
Pda7FC01FCu;ba802E3FCp,10,201;baC7DE340f,10,201;ba7FE4263p,10,201
Pda7FC062Fu;ba802E9F7p,10,201;baC8CE878f,10,201;ba7FE4040p,10,201
Pda7FC0A61u;ba802F13Bp,10,201;baC9F4420f,10,201;ba7FE3DB0p,10,201
Pda7FC0E94u;ba802F8ECp,10,201;baCAE4958f,10,201;ba7FE39D7p,10,201
Pda7FC12C6u;ba802FEE7p,10,201;baCBD4E88f,10,201;ba7FE37B5p,10,201
Pda7FC16F9u;ba803062Ap,10,201;baCCAA878f,10,201;ba7FE33DCp,10,201
Pda7FC1B2Bu;ba8030E48p,10,201;baCD9ADB0f,10,201;ba7FE2F96p,10,201
Pda7FC1F5Eu;ba803151Ep,10,201;baCE707A0f,10,201;ba7FE2C2Bp,10,201
Pda7FC2390u;ba8031DAAp,10,201;baCF7B818f,10,201;ba7FE27E6p,10,201
Pda7FC27C3u;ba8032480p,10,201;baD06BD48f,10,201;ba7FE24E8p,10,201
Pda7FC2BF5u;ba8032BC3p,10,201;baD10C0B8f,10,201;ba7FE2035p,10,201
Pda7FC3028u;ba8033374p,10,201;baD217130f,10,201;ba7FE1CCAp,10,201
Pda7FC345Au;ba8033BFFp,10,201;baD307660f,10,201;ba7FE1817p,10,201
Pda7FC388Du;ba8034268p,10,201;baD3C2518f,10,201;ba7FE14ACp,10,201
Pda7FC3CBFu;ba8034A86p,10,201;baD47D3D0f,10,201;ba7FE0F8Bp,10,201
Pda7FC40F2u;ba8035237p,10,201;baD51D740f,10,201;ba7FE0A6Bp,10,201
Pda7FC4524u;ba803597Ap,10,201;baD5F3138f,10,201;ba7FE0692p,10,201
Pda7FC4957u;ba8036206p,10,201;baD6934B0f,10,201;ba7FE0097p,10,201
Pda7FC4D89u;ba80368DCp,10,201;baD6FE1A8f,10,201;ba7FDFB77p,10,201
Pda7FC51BCu;ba8036FB2p,10,201;baD79E520f,10,201;ba7FDF731p,10,201
Pda7FC55EEu;ba8037762p,10,201;baD809218f,10,201;ba7FDF136p,10,201
Pda7FC5A20u;ba8037EA6p,10,201;baD88EA50f,10,201;ba7FDEC15p,10,201
Pda7FC5E53u;ba80385E9p,10,201;baD914290f,10,201;ba7FDE6F5p,10,201
Pda7FC6285u;ba8038CBFp,10,201;baD964448f,10,201;ba7FDE167p,10,201
Pda7FC66B8u;ba803924Dp,10,201;baD999AC0f,10,201;ba7FDDCB4p,10,201
Pda7FC6AEAu;ba8039B46p,10,201;baDA047C0f,10,201;ba7FDD570p,10,201
Pda7FC6F1Du;ba803A066p,10,201;baDA39E40f,10,201;ba7FDD12Bp,10,201
Pda7FC734Fu;ba803A7AAp,10,201;baDA6F4B8f,10,201;ba7FDCAC2p,10,201
Pda7FC7782u;ba803AE12p,10,201;baDA89FF8f,10,201;ba7FDC4C7p,10,201
Pda7FC7BB4u;ba803B3A0p,10,201;baDAA4B30f,10,201;ba7FDBFA6p,10,201
Pda7FC7FE7u;ba803BA76p,10,201;baDABF670f,10,201;ba7FDB93Ep,10,201
Pda7FC8419u;ba803C004p,10,201;baDAA4B30f,10,201;ba7FDB342p,10,201
Pda7FC884Cu;ba803C6DAp,10,201;baDABF670f,10,201;ba7FDACDAp,10,201
Pda7FC8C7Eu;ba803CC68p,10,201;baDAA4B30f,10,201;ba7FDA6DFp,10,201
Pda7FC90B1u;ba803D11Bp,10,201;baDA6F4B8f,10,201;ba7FDA151p,10,201
Pda7FC94E3u;ba803D716p,10,201;baDA39E40f,10,201;ba7FD9A7Bp,10,201
Pda7FC9916u;ba803DBC9p,10,201;baDA047C0f,10,201;ba7FD94EDp,10,201
Pda7FC9D48u;ba803E157p,10,201;baD9B4600f,10,201;ba7FD8E17p,10,201
Pda7FCA17Bu;ba803E6E5p,10,201;baD97EF88f,10,201;ba7FD87AEp,10,201
Pda7FCA5ADu;ba803EC06p,10,201;baD949908f,10,201;ba7FD81B3p,10,201
Pda7FCA9E0u;ba803F04Bp,10,201;baD8F9750f,10,201;ba7FD7C25p,10,201
Pda7FCAE12u;ba803F5D9p,10,201;baD8C40D0f,10,201;ba7FD75BCp,10,201
Pda7FCB245u;ba803FA1Fp,10,201;baD8593D8f,10,201;ba7FD6FC1p,10,201
Pda7FCB677u;ba803FDF7p,10,201;baD809218f,10,201;ba7FD6AA1p,10,201
Pda7FCBAAAu;ba8040162p,10,201;baD7B9058f,10,201;ba7FD65EEp,10,201
Pda7FCBEDCu;ba8040615p,10,201;baD768EA0f,10,201;ba7FD5FF2p,10,201
Pda7FCC30Eu;ba80408A6p,10,201;baD6C8B30f,10,201;ba7FD5AD2p,10,201
Pda7FCC741u;ba8040C11p,10,201;baD678970f,10,201;ba7FD561Fp,10,201
Pda7FCCB73u;ba8040E34p,10,201;baD5F3138f,10,201;ba7FD51D9p,10,201
Pda7FCCFA6u;ba80410C4p,10,201;baD56D900f,10,201;ba7FD4D26p,10,201
Pda7FCD3D8u;ba80412E7p,10,201;baD4E80C8f,10,201;ba7FD48E0p,10,201
Pda7FCD80Bu;ba804142Fp,10,201;baD462888f,10,201;ba7FD4575p,10,201
Pda7FCDC3Du;ba804150Ap,10,201;baD3C2518f,10,201;ba7FD420Ap,10,201
Pda7FCE070u;ba804172Cp,10,201;baD357818f,10,201;ba7FD3E32p,10,201
Pda7FCE4A2u;ba804179Ap,10,201;baD2D1FE8f,10,201;ba7FD3BA2p,10,201
Pda7FCE8D5u;ba804172Cp,10,201;baD217130f,10,201;ba7FD3911p,10,201
Pda7FCED07u;ba804172Cp,10,201;baD176DB8f,10,201;ba7FD3681p,10,201
